店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
德克士(长乐店),2761922,快餐,德克士,23806,http://p1.meituan.net/poi/494fa71899e7f00eb7a32cd83495de9575988.png,4.1,25,5.5,长乐市中心城区,2954,25.958351,119.512545,长乐市郑和中路惠航大厦1楼,,,免费提供8个停车位,5.5元香辣鸡翅，6.5元脆皮炸鸡，8.9元魔法鸡块，11元咔滋薯霸买一送一，13元香辣鸡翅2次卡，15元食味炸鸡，16元孜然鸡柳2份，24元香酥双鸡堡，24元酸菜心动堡，25元双堡套餐，25.9元小食套餐A，26元超值单人餐A，29元十月新品小食套餐，32元手枪腿单人套餐，33元手枪腿第二件半价，34元双人套餐，39元一桶都是腿，45元心动堡双人餐，48元欢享双人餐A，79元多人分享套餐，89元...;,周一至周日 09:00-23:00,0591-28887372,53561,,,False,1,0,53561,True,False
刘福记北京烤鸭(西洪店),4892028,烤鸭,刘福记北京烤鸭,1958217,,4.5,32,44.5,左海/西湖公园,95,26.085687,119.286124,鼓楼区西洪路108号（农业银行取款机旁、西门永辉超市斜对面）,,,,双人餐44.5元，2-3人餐73.9元;73.9代158元;,周一至周日 09:00-21:00,0591-38110070,53173,,,False,1,115,53173,True,False
金谷一漫烤自助餐厅(东二环泰禾店),63598367,综合自助,,0,,3,79,73,东二环泰禾广场,96,26.091161,119.335056,晋安区东二环泰禾广场泰禾新天地19号楼二楼（观光电梯旁）（19号楼手扶梯旁）,2,,停车位收费标准：泰禾广场提供停车位（商家不提供）,单人午餐73元，单人晚餐83元，3-5人餐228元，[4]人午餐272元，[4]人晚餐312元，5-7人餐358元;,周一至周日 11:00-22:00,0591-83626663,52822,,,False,0,133,52822,True,False
德庄火锅(仓山万达店),1448484,重庆火锅,德庄火锅,30931,http://p0.meituan.net/poi/2dfe2a1481831ab8a64a624ba6aea79670717.png,4.9,95,45,仓山万达广场,98,26.036627,119.274254,仓山区浦上大道万达广场三楼德庄火锅店,3,,,9.8折（买单立享）;双人餐168元，4人餐268元起，4人餐268元起;45代50元;,周一至周日 11:00-21:00  2019-02-04至2019-02-05 11:00-20:00,0591-88257336,52323,2002年，德庄大火锅首次在公众面前亮相，9个牛头和2个虎头为支柱的大脚； 2003年，德庄投资上亿元在重庆南岸建立了德庄中央物流配送基地和食品生产基地； 2004年，德庄与石柱县合作建设10万亩辣椒基地，后陆续建成多处种植和养殖基地； 2009年，德庄完成了国内第三代火锅底料生产模式的建设，建成万吨火锅底料专用生产线； 2012年，德庄大火锅受第三届中国餐饮业博览会组委会的邀请，在澳门参展； 至现在，德庄火锅已走进了北京大学光华管理学院MBA教案，被称为“德庄现象”。,,False,1,159,52323,True,False
古千川艺厕所串串香(三坊七巷店),74684489,四川火锅,,0,,4.3,41,4.8,东街口/三坊七巷,95,26.080663,119.298763,鼓楼区南街街道吉庇巷54号钰景园1＃楼1层06商店（取餐地址吉庇路14号）,,"4282,4286,5301,",,4.8元冰粉，78元串串2人餐，159元串串4-5人餐;25代50元，40代50元;,周一至周日 11:00-24:00,0591-87661273/18050170295,51862,,,False,1,286,51862,True,False
瑞可爷爷的店(宝龙城市广场店),6580865,蛋糕,瑞可爷爷の店,1316443,http://p1.meituan.net/poi/5b2741a621592c8a343d523ad9745f9943471.png,4.4,28,33,宝龙城市广场,97,26.061611,119.291473,台江区工业路193号宝龙城市广场B1层,-1,"5302,5311,",,7英寸蛋糕33元起，39元蛋糕3选1，起司蛋糕66元;,周一至周日 10:00-22:00,0591-83815775,51255,Rikuro瑞可爷爷的店为中国民营现烤蛋糕品牌，现有明星产品——现烤起司蛋糕已风靡上海及长三角等地区。 未来瑞可爷爷将继续搜罗世界各地特色现烤蛋糕，增加产品并丰富产品组合，例如已在中国上市的风靡台湾的凹蛋糕（融合巧克力、蜂蜜等各地元素）。传世的美味，实恵的价格，是Rikuro瑞可爷爷的店一直坚持的原则。,,False,1,12,51255,True,False
凡塔斯牛排餐厅(师大店),6197867,牛排,凡塔斯牛排,237945,http://p1.meituan.net/poi/7d673b3690f39ec5e430e0dc552f73b4155909.png,3.5,62,82,学生街,98,26.035899,119.313968,仓山区首山路师大综合楼2楼（肯德基对面）,,,免费停车,单人餐82元起，双人餐158元;,周一至周日 10:30-21:30,0591-83456781,50396,,,False,0,28,50396,True,False
阿里朗烤吧,4258470,烧烤,阿里朗烤吧,1734585,,4.2,58,0,街心公园,1186,25.719064,119.383533,福清市小桥街116号2楼（海阔天空旁边）,,,,,周一至周日 10:00-22:00,0591-85825557,48912,阿里郎地处街心公园电信旁，位置优越，环境优雅，装潢独具一格，处处流溢着韩国文化的氛围。店内整洁，采用高品质无烟处理设置，无油烟环境。秉承了韩式传统美食文化，以烤肉系列为主，并吸纳了我国传统菜肴的风味，为您带来了地道的韩国风情。不仅在菜品上遵循原汁原味的宗旨，而且建立了严格卫生的管理体制。 让您放心享用美食。阿里郎不仅有韩国**特色的烧烤，而且种类丰富，荤素皆有，吃法独特；各种韩国传统美食，应有尽有，让食客留连忘返。,,False,0,0,48912,True,False
贵安世纪金源大饭店-樱之屋料理,2452492,海鲜自助,,0,,4.5,156,179,贵安新天地,2956,26.252847,119.400391,连江县潘渡乡东雁村商业路贵安新天地,,,免费提供100个停车位,单人午/晚餐179元;,周一至周日 11:30-14:00 17:30-21:00,0591-38188888,48769,贵安世纪金源温泉大酒店是一家开业于2013年的崭新典雅的五星标准酒店。酒店隶属于世纪金源集团，坐落于拥有“福建温泉之乡”的贵安新天地，四周环绕着御兰芳温泉SPA、贵安水世界、欢乐世界、福州百姓文化长廊等，旅游资源众多，尽得地利之便。1000多米的大型豪华大堂，内有小桥流水、大型绿色观叶植物，富丽堂皇，格调高雅。,,False,0,0,48769,True,False
牛太郎烧烤城(正大广场店),832293,烤串,牛太郎烧烤城,27959,http://p1.meituan.net/poi/6d8ba80c45e8012752f18281cb3a5b5613194.png,3.6,59,66.8,五一广场/古田路,95,26.075082,119.310369,鼓楼区五一中路18号正大广场5层,5,"5310,5301,4277,4282,",,单人午餐66.8元，单人晚餐76.8元;66.8代69元，76.8代79元;,周一至周日 10:00-22:00,0591-87115558,47967,"福州牛太郎餐饮管理公司是一家具有浓郁特色的时尚烧烤餐饮企业、企业成立于1998年 ， 是在餐饮业迅猛发展的时代背景下，在餐饮投资人更加注重多元化和理性化的前提下，顺应市场发展趋势，顺应投资人需求而成立的专业性服务机构。 公司秉承诚信理念，真诚合作，共同发展，互惠互利。 公司坚持以人为本，汇聚了全国业界大批技术、管理精英，共同打造为广大投资人服务的完善平台。 我们将以专业的管理、精湛的技术，为广大投资人量身定制最适合的投资方案，提供**市场竞争力的产品，成就您的餐饮梦想。 我们有自己独特的品牌特色： 1.引进专业技术的正宗时尚烧烤。 2.采用先进的红外线无烟烤炉,里外同时熟,香气四溢,风味独特。 3.优质的肥牛、海鲜及各式沙拉等,近百个品种等您来品尝。 4.独特的秘制烤汁,采用蜂蜜、鲜果汁等精心调制而成,可清凉降火, 蘸之而食,回味无穷。 5.无限量自选自助烧烤",,False,0,46,47967,True,False
小肥羊(浦上万达店),2411073,牛羊肉火锅,小肥羊,1826094,http://p0.meituan.net/poi/6c2857de867da3c02af425ec28de8d6454072.png,4.1,93,1,仓山万达广场,98,26.034846,119.272599,仓山区金山街道浦上大道272号仓山万达广场A5楼3层,1,,,每满100减10（买单立享）;单人餐39元;1代30元;,周一至周日 11:00-01:00,0591-88112153,47923,锅底“非常好”，里头“放了很多东西”；牛羊肉很“鲜”、很“香”，涮着吃不用蘸酱；飞饼、烤羊排之类的也“不错”。环境“还可以”，“天冷”的时候邀上“三五好友”“围桌而坐”，“边吃边谈”，着实“温馨”。,,False,0,6,47923,True,False
璞月中华意境菜,1156202,创意菜,,0,,5,247,399,省图书馆/温泉路,95,26.093548,119.308067,鼓楼区湖东路187号城市之光1至5楼（湖东路与五四路交汇处）,,"4284,",免费提供80个停车位,双人餐399元，4人餐518元起，6人餐999元起，8人餐1799元;,周一至周日 11:00-13:30 17:30-22:00,0591-83509999,47470,榕城海鲜姿造去哪里？无需过多言语，且看悦港琴湾。何谓“姿造”？字面上的理解，就是姿色、造型，隐约可以感觉到一份妖娆和美丽。用在饮食上，“姿造”的解释就是以独特的盛放和摆设方式来营造诱人的就餐氛围，着重于把味觉升华到视觉的观赏价值。质感上乘的盘、碟、盆，高超的刀花，生鲜的食品，使菜品更具美感，营造出视觉、嗅觉、味觉的更高享受。姿造，希望带给你的是，更生动的美食和更难忘的体验。以美妙的心情，“姿造”海鲜、姿造自己的生活。,,False,1,263,47470,True,False
经典世家牛排(金山大润发店),84577527,牛排,经典世家牛排,895664,http://p1.meituan.net/poi/22485a165deaaa0f0d6112170302d22d92673.png,5,66,56.8,金山大润发,98,26.056446,119.264283,仓山区金榕北路大润发一层（蒙自源旁）,,,,单人餐56.8元起;,周一至周日 11:00-21:30,0591-86396016,46790,,,False,0,205,46790,True,False
四道菜·现撬海蛎煎(东百优品城店),2472731,福建菜,四道菜,357814,http://p1.meituan.net/poi/59f6ebeaa3c4c86c97850c70f458062e67550.png,4.1,51,95,台江广场/元洪城,97,26.052414,119.316827,台江区台江路95号东百优品城4楼,4,"4279,",免费停车,95代100元;,周一至周日 11:00-21:00  2019-02-04 休息,15339436317/15880117874,46260,,,False,0,75,46260,True,False
香帝西饼(郑和店),834711,蛋糕,香帝西饼,1163652,,4.3,11,8.8,长乐市中心城区,2954,25.958481,119.51352,长乐市西洋路36号（近惠航环岛）,,,,,周一至周日 07:00-23:00,0591-28816888,46120,福建香帝食品有限公司创立于1994年，位于福建省侨乡长乐市、历经18年的发展，已发展为长乐区域烘焙行业品牌与龙头企业。香帝公司现拥有月饼、蛋糕、面包、西点、干点五大类完整的食品生产体系，生产品种多达三百多款。香帝公司目前在长乐市拥有1家中央生产基地，12家连锁门店，产品供应肯德基、上岛咖啡、邮政速递、星级酒店、银行系统等高端品牌客户。香帝公司一向注重产品质量，精选优质新鲜原料，烘焙中不添加食品防腐剂，并严格按照质量管理体系要求，从上游供应商到生产、储运至销售服务进行细致、周密品质管理，确保产品优质安全，实现每天向门店提供的都是新鲜美食。香帝公司在技术研发、产品质量、品牌建设、市场占有率方面均保持区域行业市场的领先地位，香帝公司两度荣获“全国优秀饼店”称号及2007-2008、2009-2010年度“福州市守合同重信用”企业称号，香帝已成为“福州市知名商标”。,,False,0,15,46120,True,False
北疆饭店(万象城店),4220861,新疆菜,北疆饭店,24486,http://p1.meituan.net/poi/3468a280da8d4384c8a29d0f670ccf2464877.png,4.2,64,92,万象城,97,26.064523,119.290863,台江区工业路378号万象城4层,4,"5302,5311,5307,",,满100减8（买单立享）;双人餐99元起，双人餐99元起，3-4人餐149元，3-4人餐159元;92代100元;,周一至周日 11:00-13:30 17:00-21:00  非营业时段 2018-02-15至2018-02-15 13:00-24:00 2018-02-17至2018-02-17 19:30-24:00 2018-02-16至2018-02-16 00:00-14:00,0591-86255528,44737,,,False,1,58,44737,True,False
揽季锅物会(三坊七巷店),1535437,海鲜火锅,揽季锅物会,569300,http://p0.meituan.net/poi/fded9bdabb4ed605c9e5423f04c360ac209295.png,4.9,142,190,东街口/三坊七巷,95,26.07939,119.29746,鼓楼区三坊七巷澳门路28号,,"4282,5301,4286,5307,",,每满100减2（买单立享）;双人餐299元，4人餐499元，6人餐899元;190代200元;,周一至周日 全天,0591-87775757,44496,揽季锅物会成立于2012年，是一家以“海鲜火锅”为主的火锅连锁餐厅。揽季锅物会一直坚持以“揽四季，悦四方”为服务宗旨，将四季的象征精神和多样风情作为餐厅的服务和经营之本，致力打造“真情，温暖”的火锅品牌。自成立以来，揽季锅物会遵循“聚在一起，让味道更有味道”品牌理念，并为有需要的顾客准备围裙、眼镜布、发绳，及免费的美甲服务。揽季始终推崇诚信原则，店内设有公平秤与“透明式”厨房政策，每一位顾客都可以参观厨房，海鲜生猛且明码标价，处处体现“真诚”的核心价值观。,,False,1,151,44496,True,False
大丰收李家(元洪店),5767034,其他浙江菜,大丰收,380465,http://p0.meituan.net/poi/34c673f11151f7abcb1b0ed5b47bfb8814729.png,4.1,52,90,台江广场/元洪城,97,26.052236,119.316323,台江区台江路95号东100元洪购物广场4层（近台江广场车站）,4,"4279,",有停车位,90代100元;,周一至周日 10:30-14:30 16:30-21:30,0591-88132666,44206,,,False,1,47,44206,True,False
太古汇港式鲜捞,40585894,海鲜,太古汇港式鲜捞,1644748,http://p1.meituan.net/poi/55e4de4587c88e09d290f5b5e7e2670f32500.png,4.8,129,228,裕荣汇,1186,25.720006,119.352049,福清市裕荣汇购物广场2楼（创元千禧大酒店后面100米）,2,,免费提供50个停车位,双人餐228元起，2-3人餐308元，2-3人餐408元，4-5人餐508元，4人餐528元起，4人餐528元起，5人餐658元，5-6人餐758元，6人餐788元起，6人餐788元起，7-8人餐998元，8-10人餐1288元，8-10人餐1288元，10-12人餐1498元;,周一至周日 11:00-02:00,0591-38511666,44139,,,False,0,94,44139,True,False
百加百炭火烤肉专门店,6594594,韩式烤肉,,0,,4.5,81,59,东街口/三坊七巷,95,26.087434,119.299578,鼓楼区鼓楼东街口卫前街113-115号贤南商厦一楼,1,"4286,",,双人餐59元起，4人餐288元;90代100元;,周一至周日 11:00-14:00 16:30-21:00  2019-02-02至2019-02-10 休息,0591-87662729/15880095330,43150,,,False,0,169,43150,True,False
K牛自助牛肉火锅,169089675,火锅自助,,0,,3.2,81,65.8,学生街,98,26.035991,119.314705,仓山区首山路7号（肯德基旁边）,,,,单人午餐65.8元，单人午餐68.8元，单人晚餐75.8元，单人晚餐78.8元;,周一至周日 11:00-14:00 16:30-21:30,13055782006,42946,,,False,0,832,42946,False,False
韩娘韩国料理(中亭街店),4247734,韩国菜,韩娘,1919963,,4.2,45,21.9,中亭街,97,26.056322,119.307618,台江区洋中街道学军路1号群升国际1楼1层22店面（怡丰小区对面）,,"4279,",,单人餐21.9元;90代100元;,周一至周日 10:00-22:00,13023831100,42870,,,False,1,155,42870,True,False
香帝西饼(胪东路店),842661,蛋糕,香帝西饼,1163652,,4.4,18,8.8,金峰镇,2954,25.978462,119.627296,长乐市金峰镇胪东路（近兴业银行）,,,,,周一至周日 07:00-23:00,0591-28881598,42662,福建香帝食品有限公司创立于1994年，位于福建省侨乡长乐市、历经18年的发展，已发展为长乐区域烘焙行业品牌与龙头企业。香帝公司现拥有月饼、蛋糕、面包、西点、干点五大类完整的食品生产体系，生产品种多达三百多款。香帝公司目前在长乐市拥有1家中央生产基地，12家连锁门店，产品供应肯德基、上岛咖啡、邮政速递、星级酒店、银行系统等高端品牌客户。香帝公司一向注重产品质量，精选优质新鲜原料，烘焙中不添加食品防腐剂，并严格按照质量管理体系要求，从上游供应商到生产、储运至销售服务进行细致、周密品质管理，确保产品优质安全，实现每天向门店提供的都是新鲜美食。香帝公司在技术研发、产品质量、品牌建设、市场占有率方面均保持区域行业市场的领先地位，香帝公司两度荣获“全国优秀饼店”称号及2007-2008、2009-2010年度“福州市守合同重信用”企业称号，香帝已成为“福州市知名商标”。,,False,1,15,42662,False,False
韩悦烤肉(仓山万达店),1478062,韩式烤肉,韩悦烤肉,1145591,http://p0.meituan.net/poi/51d5456145dd59d59a33a7f97b0231947758.jpg,4.1,80,95,仓山万达广场,98,26.035812,119.273205,仓山区浦上大道276号万达广场3层,3,,,满99减1（买单立享）;95代100元;,周一至周日 09:30-23:00  2019-02-01至2019-02-14 10:30-22:00,0591-86392702,42409,韩悦风尚料理是一家坚持美味、健康、时尚的韩式烤肉店，采用连锁经营模式，分店遍布全国多个城市。韩悦在选料方面非常考究，保证所有食材的新鲜和品质，力求为食客提供高品质的美味享受。店内简洁大气的装修风格，宽敞舒适的店内设计，将韩悦的品牌理念优质地呈现出来。从桌椅到餐具，从摆盘到调味，都透着浓浓的韩式风味。食客可以在烧烤的过程中体验到无穷的美味乐趣，分享当美味诞生时的喜悦。韩悦拥有丰富的菜品，能够满足不同人群的口味要求。此外，为了满足不同就餐人数的需要，韩悦还提供了多类型的餐位。韩悦想你所想，用心为食客营造惬意的用餐氛围，打造最优质的用餐体验。,,False,0,123,42409,True,False
盛世经典牛排自助餐厅(王庄店),113913291,牛排,,0,,4.6,60,44.5,世欧王庄,96,26.070371,119.328039,晋安区长乐路与晋连路交汇处2楼,,"5305,",,单人餐59.5元，双人餐169元;44.5代50元;,周一至周日 09:30-22:00,0591-83820337,42354,,,False,0,298,42354,False,False
华莱士(龙城广场店),1877249,汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,4.6,14,3.8,福州火车站,96,26.11085,119.31877,晋安区华林路389号龙城广场1楼17号店面,1,"4276,4278,",,3.8元特价黑椒鸡块，7.8元小吃组，9.9元单人餐A，10元小食套餐，13.9元单人餐B，19.9元双人餐A，28.9元双人餐B;,周一至周日 20:00-03:00,15806069485,42149,烤翅、蜜汁烤鸡、板烧汉堡蛮好吃的，价格也“比KFC和麦当劳便宜”。而且“分店很多”，“一般都能找到在公司附近的”。叫份外卖当工作餐，“换换口味不错”。,,False,1,29,42149,True,False
贵族世家牛排自助餐厅(宝龙城市广场店),118484725,综合自助,,0,,4.7,69,69,宝龙城市广场,97,26.061765,119.290813,台江区工业路宝龙城市广场1号大门负一楼（负一楼25-27号肯德基那个扶梯下楼，扶梯后面）,-1,"5302,5311,",,单人餐69元起，单人餐69元起;,周一至周日 11:00-22:00  2019-02-04至2019-02-07 休息,0591-83820180,41968,,,False,0,173,41968,False,False
Mr.FIVE伍氏(世纪金源店),90914945,蛋糕,,0,,4.2,15,88,盖山,98,26.02376,119.35772,仓山区林浦路世纪金源购物广场一层,1,,,6英寸蛋糕88元起，6英寸萌宠蜜恋90元，6英寸鲜果嘉年华90元，6英寸虎皮鲜果90元，6英寸夏忆香芒98元，6英寸洛丽塔108元，8英寸蛋糕118元起，8英寸蛋糕118元起，8英寸虎皮鲜果128元，8英寸玛格丽特138元，8英寸俏皮猪138元，8英寸蝶恋花138元，8英寸萌宠蜜恋148元，8英寸旋转木马148元，马卡龙女神148元，8英寸夏忆香芒148元，8英寸洛丽塔148元;,周一至周日 07:00-22:30,0591-63115454,41759,,,False,0,23,41759,True,False
哈哈碳都·韩国料理,42337285,韩国菜,,0,,5,65,85,台江万达,97,26.051754,119.342006,台江区鳌江路8号万达金街1楼164店,1,,,双人餐98元，3-4人餐188元;85代100元;,周一至周日 10:00-22:00  2019-02-04至2019-02-06 休息 2019-02-07 16:00-22:00,0591-83322848,41616,,,False,1,123,41616,True,False
蒙自源,42210746,过桥米线,蒙自源,985043,http://p1.meituan.net/poi/0ec4ac1c122ccd8505432f3f9b4d91ed22863.png,3.4,24,14.8,连江县中心城区,2956,26.210217,119.534555,连江县马祖路西路10号万家城市广场5#1层1078号必胜客隔壁,1,,停车位收费标准：门口有停车位,14.8元单人套餐;45代50元;,周一至周日 09:00-21:00,0591-26162677,41207,,,False,1,183,41207,True,False
海天盛宴mini迷你(福州广场店),160169655,海鲜自助,,0,,4.7,251,218,温泉公园/福州广场,95,26.097196,119.307827,鼓楼区五四路149号香榭丽都大厦一楼（福州广场内临近五四路）,,"4284,4278,",,单人午餐218元，单人午餐230元，单人晚餐258元，单人晚餐270元;,周一至周日 11:30-14:30 17:30-21:30,0591-88251717,40414,,,False,0,841,40414,False,False
中庚喜来登酒店·盛宴标帜餐厅,1531742,综合自助,,0,,4,159,50,黄山,98,26.02444,119.37186,仓山区浦下洲路23号,,,免费提供50个停车位,单人午餐178元，单人晚餐218元;50代150元;,周一至周日 06:30-23:00,0591-88268283,40102,福州中庚喜来登酒店由中庚集团投资，总投资达17亿元人民币，占地116亩，总建筑面积15万㎡，其中景观面积近5万㎡。福州中庚喜来登酒店地面建筑高60米，酒店呈双塔式建筑，形似两只环抱的手掌，寓意着福州中庚喜来登酒店与海峡国际会展中心相互辉映。酒店地理位置绝佳，坐落于福州新兴商业区的中心地带，面朝闽江河岸，交通便利，距福州南火车站约8公里，离福州火车站约14公里，约45公里的车程即可抵达福州长乐国际机场。酒店的三间餐厅让食客尽享缤纷可口的国际美食。盛宴是喜来登的特色全日制餐厅，囊括了世界各地的风味美食，采悦轩中餐厅则专注于地道的闽菜和粤式菜肴，精选本地食材，愉悦您的味蕾。雅日式餐厅供应由最新鲜的食材烹制而成的创意日本料理。舒适的大堂吧还可带来各色清爽鸡尾酒、白酒、优质葡萄酒以及现磨咖啡，是您与家人朋友欢聚一堂、放松身心的理想之地,,False,0,17,40102,True,False
鲜芋仙(万星城店),5338195,港台甜品,,0,,3.5,20,17.5,连江县中心城区,2956,26.21198,119.55007,连江县丹凤东路万星城2号楼一层L1233-2,,,,17.5元传统豆花单人餐，22元单人套餐;29.5代35元;,周一至周日 09:00-23:30,0591-26158353,39818,,,False,1,22,39818,False,False
餐海·海鲜自助餐厅(宝龙广场店),166682268,海鲜自助,,0,,3,111,99,宝龙城市广场,97,26.061109,119.291663,台江区工业路宝龙城市广场2楼148号5-6号电梯旁,2,"5302,5311,",,单人午餐99元，单人晚餐109元;,周一至周日 10:00-14:00 16:00-22:00,0591-83329786,39830,,,False,0,299,39830,True,False
金太郎韩式自助烤肉火锅(中亭街8090广场店),71629519,烤肉自助,,0,,3.1,58,52.9,中亭街,97,26.053695,119.308883,台江区台江路中亭街8090时尚广场二楼2C01（屈臣氏旁）,2,"4279,",,单人午餐52.9元，单人晚餐59.9元;,周一至周日 11:00-21:30  非营业时段 2018-02-14至2018-02-20 全天,0591-83810880/15960189446,39568,,,False,0,183,39568,True,False
食鼎记·私房菜(三坊七巷店),829758,私房菜,食鼎记私房菜,1160464,http://p1.meituan.net/poi/d1ae336888788643767848e079ecae7f18543.png,4,66,90,东街口/三坊七巷,95,26.080519,119.299325,鼓楼区吉庇路61号二、三层,,"4282,5301,4286,",,每满100减8（买单立享）;2-3人餐139元，10-12人餐980元;90代100元;,周一至周日 10:30-14:30 16:30-21:30,0591-87660377,39140,食鼎记私房菜创始于2004年8月，是**个把“私房菜”这个概念引进福州餐饮界的餐厅。食鼎记乃一小肆，逐滚滚餐饮洪流，上可称振中华饮食文化之大道，下可慰平民口谗舌痒之私欲。前有金庸先生取“逐鹿中原”之意着“鹿鼎记”，呼啸中土，迷醉众生；后有我等饮食男女，食为天下先，寻得华山论剑处，携美眷，约美眉，邀密友，呼亲朋，欣欣然品美食，陶陶然饮佳酿，推杯把盏，快意江湖，照做英雄豪杰！东坡善烹，放有名菜传世；随园洗调，食单与诗话齐名。文人雅士，恋恋红尘，斗转而星移，怎一个食字了得？些间有鼎，鼎中有食，傍西湖碧水，望三坊七巷，古韵今风，美食何在？唤得服务生来：小妺，上菜,,False,1,128,39140,True,False
融侨大酒店·榕苑自助餐厅,184438433,综合自助,,0,,4.7,149,139,好又多,1186,25.721231,119.371105,福清市音西清昌大道1号融侨大酒店1号楼一层,,,,单人午餐139元，单人晚餐239元;,周一至周日 11:30-13:30 17:30-20:30,0591-85344023,38408,,,False,0,545,38408,False,False
小龙坎老火锅(万达店),116459997,四川火锅,小龙坎,2883441,http://p0.meituan.net/poi/108c210fe9a4ae636e2711fa68841da394319.png,4.2,97,25,仓山万达广场,98,26.036805,119.274687,仓山区仓山万达金街5号门旁,1,,,2-3人餐186元;25代50元，89代100元，92代100元;,周一至周日 10:30-00:00  非营业时段 2018-02-15至2018-02-16 全天,0591-87862921,38166,,,False,0,383,38166,True,False
华莱士(首一店),832441,汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,4.4,13,3.8,盖山,98,26.03051,119.31392,仓山区首山路55号5号店面,,,,3.8元特价黑椒鸡块，7.8元小吃组，9.9元单人餐A，10元小食套餐，13.9元单人餐B，19.9元双人餐A;,周一至周日 09:30-00:30  2019-01-30至2019-02-08 休息,0591-83427797,38047,烤翅、蜜汁烤鸡、板烧汉堡蛮好吃的，价格也“比KFC和麦当劳便宜”。而且“分店很多”，“一般都能找到在公司附近的”。叫份外卖当工作餐，“换换口味不错”。,,False,1,20,38047,True,False
西湖印象餐饮店,68387712,杭帮菜,,0,,3.2,92,92,东二环泰禾广场,96,26.090732,119.336798,晋安区/晋安区/岳峰镇竹屿路6号东二环泰禾城市广场商业中心22号楼第五层的编号为L504的商铺,5,,,92代100元;,周五至周日 11:00-21:30  周一至周四 11:00-21:00,0591-63168337,37795,,,False,1,86,37795,True,False
石山水美式餐厅(元洪店),87301,美国菜,石山水,844490,http://p1.meituan.net/poi/d3563263f9d6110ecbdeca724351815079490.png,4.1,90,98,台江广场/元洪城,97,26.052044,119.316722,台江区台江路95号元洪城商场综合四层（近台江广场车站）,4,"4279,",,单人餐98元，双人餐188元起;,周一至周日 10:00-22:30  非营业时段 2018-02-15至2018-02-15 18:00-22:30,0591-83289997,37642,石山水美式餐厅，隶属于双福集团旗下，历经10余年逐渐发展成为一家以经营各类美式西餐为主的美式休闲餐饮专家。纯正美式牛排、鲜香美味比萨、美国肥牛火锅、特色自助沙拉，在怀旧风情为主题的餐厅中，让西式美味，装扮了此刻的优雅,,False,0,14,37642,True,False
鲜芋仙(长山湖店),2712707,西式甜品,,0,,3.7,23,22,长乐市中心城区,2954,25.955884,119.500713,长乐市航城街道广场路39号长山湖购物广场1F-23,23,,免费提供20个停车位,22元单人甜品;,周一至周日 09:30-23:00,0591-28987776,37629,鲜芋仙，两个老大的私房甜品 【新鲜】、【现做】、【现煮】、【现卖】 以独特的工法，融合时尚的店铺形象，风靡台湾、马来西亚、澳洲及中国大陆。 松软的芋头、弹Q的芋圆、嫩滑的仙草及绵密的豆花...丰富的美味，每一口都让你流连忘返。,,False,1,6,37629,True,False
桂小厨(东二环泰禾店),62799142,广西菜,,0,,4.7,85,33,东二环泰禾广场,96,26.090124,119.336898,晋安区岳峰镇竹屿路6号泰禾城市广场22号楼L502,5,,,单人餐33元起，单人餐33元起，双人餐105元;95代100元;,"周六,周日 11:00-21:30  周一至周五 11:00-14:30 17:00-21:30  2019-02-04 11:00-15:00",0591-87767785,37310,,,False,1,80,37310,False,False
杜老板松茸菌汤火锅(三坊七巷店),156857432,四川火锅,,0,,4.9,107,246,鼓楼区,95,26.080983,119.299949,鼓楼区吉庇路20号醉得意楼上,,"4282,4286,5301,",,2-3人餐246元，4人餐359元，8-10人餐628元;,周一至周日 10:30-05:00,0591-87610050,36187,,,False,0,185,36187,False,False
旺巴蜀小郡肝火锅串串香(东二环泰禾店),177901574,串串香,,0,,3.8,80,68,东二环泰禾广场,96,26.091661,119.334092,晋安区连江北路泰禾新天地13号楼116号,1,,,双人餐108元，4人餐198元;68代100元;,周一至周日 10:00-04:00  2019-02-01至2019-02-03 10:00-04:00 2019-02-04 10:00-20:00 2019-02-05至2019-02-14 10:00-04:00,0591-83326313,35936,,,False,1,276,35936,False,False
悦满庭,160100869,粤菜,,0,,5,151,88,鼓屏路/屏山公园,95,26.108,119.298936,鼓楼区北二环中路与华屏路交汇处西南角旁（国棉永辉超市对面）,,"4284,",,4人餐399元起，6人餐599元，8人餐999元;88代100元;,周一至周日 10:30-14:00 17:00-21:30,0591-83282777,35765,,,False,0,276,35765,False,False
